./asio_kcp_client/asio_kcp_client 120.26.200.117 23457 500 2>/dev/null
63  62  57  57  57  58  67  57  56  57  max: 67  average 10: 59  average total: 59 0KB/s(in)
20:21.50 170    269 250 258 227 209 194 170 130 117 max: 269  average 10: 199  average total: 199
20:21.50 101    132 131 141 141 126 128 248 232 249 max: 249  average 10: 162  average total: 162
20:21.51 208    221 213 173 152 123 81  62  63  51  max: 221  average 10: 134  average total: 134
20:21.51 60 61  60  52  51  55  65  55  64  55  max: 65  average 10: 57  average total: 57
20:21.52 64 58  124 109 77  57  62  81  61  56  max: 124  average 10: 74  average total: 74
20:21.52 58 71  71  56  55  55  59  61  60  59  max: 71  average 10: 60  average total: 60
20:21.53 59 58  59  58  51  57  56  67  56  61  max: 67  average 10: 58  average total: 58
20:21.53 61 61  61  63  60  60  60  50  60  60  max: 63  average 10: 59  average total: 59
20:21.54 50 63  50  60  55  65  53  53  67  63  max: 67  average 10: 57  average total: 57
20:21.54 61 60  61  51  61  50  61  51  56  65  max: 65  average 10: 57  average total: 57
20:21.55 55 54  62  63  62  64  62  62  52  56  max: 64  average 10: 59  average total: 59
20:21.55 57 47  57  59  60  56  65  55  55  54  max: 65  average 10: 56  average total: 56
20:21.56 59 58  59  118 108 78  57  59  58  57  max: 118  average 10: 71  average total: 71
20:21.56 67 57  62  51  60  61  60  50  60  59  max: 67  average 10: 58  average total: 58
20:21.57 60 60  49  58  54  63  54  53  63  52  max: 63  average 10: 56  average total: 56
20:21.57 62 62  52  51  62  62  58  57  57  67  max: 67  average 10: 59  average total: 59
